UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
0.109,0.109,0.208,0.109,0.01,0.01,0.109,0.01,0.08128,nv-websocket-client,4,1.5
3.0,0.703,0.703,0.01,0.01,0.01,0.01,0.01,0.3777,webbit,4,1.5
0.109,0.208,0.01,0.109,0.01,0.01,0.109,0.01,0.08524,protoparser,4,1.5
0.406,0.406,0.406,0.109,0.208,0.208,0.208,0.109,0.31108,lanterna,4,1.5
1.4,1.3,0.901,0.506,0.208,0.208,0.901,1.3,0.68558,jackson-datatype-guava-v2,4,1.5
1.4,1.4,0.804,0.109,0.01,0.01,0.01,0.109,0.68302,gson-fire-v2,4,1.5
0.505,0.307,0.01,0.01,0.01,0.01,0.109,0.109,0.11118,jackson-core,4,1.5
3.3,0.802,0.902,0.505,0.109,0.109,0.109,0.307,0.77952,DiskLruCache,4,1.5
2.3,1.1,1.1,1.402,0.505,0.605,0.803,2.0,1.32788,JActor,4,1.5
14.0,0.901,1.3,0.109,0.01,0.01,0.109,0.109,0.53984,joss,4,1.5
6.0,0.208,0.307,0.01,0.01,0.01,0.208,0.01,0.4977,restcountries,4,1.5
0.307,0.109,0.01,0.01,0.01,0.01,0.109,0.01,0.18628,asterisk-java-v2,4,1.5
0.604,0.803,0.604,0.208,0.208,0.109,0.506,0.208,0.39424,low-gc-membuffers,4,1.5
0.901,4.3,2.61,0.604,0.109,0.109,1.0,1.109,1.0693,raml-java-parser,4,1.5
